bodywork_type,brand,city,color,doors,fuel_type,kilometers,model,motor,price,state,transmission,year
Sedan,Mazda,Urrao,Blanco,4.0,Gasolina,80000.0,323,1.5,4000000.0,Antioquia,Mecanica,1985.0
Sedan,Renault,Ciudad Bolivar,Blanco,4.0,Gasolina,500.0,R18,1.4,4200000.0,Bogota D.C.,Mecanica,1985.0
Sedan,Chevrolet,Fusagasuga,Gris,5.0,Gasolina,1.0,LUV,2.0,17000000.0,Cundinamarca,Mecanica,1985.0
Sedan,Mercedes-Benz,Usaquen,Azul,4.0,Gasolina,233000.0,Clase E,2.0,21750000.0,Bogota D.C.,Mecanica,1985.0
Coupe,BMW,Medellin,Rojo,2.0,Gasolina,245000.0,Serie 3,2.3,39000000.0,Antioquia,Mecanica,1985.0
Sedan,Mazda,Medellin,Plateado,4.0,Gasolina,218000.0,626,1.8,5300000.0,Antioquia,Mecanica,1985.0
Sedan,Mercedes-Benz,Cajica,Dorado,4.0,Gasolina,220000.0,230,2.3,16500000.0,Cundinamarca,Mecanica,1985.0
Camioneta,Toyota,Santa Marta (Distrito Turistico Cultural E Historico),Blanco,5.0,Gasolina,318000.0,Land Cruiser,4.0,54000000.0,Magdalena,Mecanica,1985.0
Camioneta,Mitsubishi,Suba,Azul,5.0,Gasolina,129000.0,Montero,2.6,27000000.0,Bogota D.C.,Mecanica,1985.0
Sedan,Mercedes-Benz,Usaquen,Verde,4.0,Gasolina,358000.0,Clase E,2.8,36900000.0,Bogota D.C.,Mecanica,1985.0
Sedan,BMW,Chapinero,Negro,4.0,Gasolina,92000.0,Serie 3,2300,47000000.0,Bogota D.C.,Mecanica,1985.0
Camioneta,Mitsubishi,Pereira,Gris,5.0,Gasolina,446000.0,Montero,2.6,21000000.0,Risaralda,Mecanica,1985.0
Sedan,Mercedes-Benz,Ibague,Azul,5.0,Gasolina,160091.0,CLASE ML 230,2300,22500000.0,Tolima,Mecanica,1985.0
Camioneta,BMW,Suba,Zinnoberot,2.0,Gasolina,198000.0,Serie 3,2300,27000000.0,Bogota D.C.,Mecanica,1985.0
Pick-Up,Chevrolet,San Vicente,Gris,2.0,Gasolina,100000.0,LUV,1.6,23000000.0,Antioquia,Mecanica,1984.0
Sedan,Renault,Engativa,Gris,4.0,Gasolina,123456.0,R18,1.4,3000000.0,Bogota D.C.,Mecanica,1984.0
Sedan,Chevrolet,Ricaurte,Gris,4.0,Gasolina,78531.0,Celebrity,2.0,45000000.0,Cundinamarca,Mecanica,1984.0
Hatchback,Chevrolet,Piendamo,Blanco,2.0,Gasolina y gas,200.0,84,2.0,18500000.0,Cauca,Mecanica,1984.0
Sedan,Mazda,Tocancipa,Blanco,4.0,Gasolina,130000.0,323,1.5,4000000.0,Cundinamarca,Mecanica,1984.0
Sedan,Ford,Santa Marta (Distrito Turistico Cultural E Historico),Gris,4.0,Gasolina y gas,150000.0,Tempo,1.8,6000000.0,Magdalena,Automatica,1984.0
Camioneta,Renault,Bogota,Blanco,4.0,Gasolina y gas,258.0,Renault 18,2.0,4500000.0,Cundinamarca,Mecanica,1984.0
Sedan,Ford,Palmira,Gris,3.0,Diesel,350000.0,LLANERO,2.0,60000000.0,Valle Del Cauca,Mecanica,1984.0
Camioneta,MONTERO TRADICIONAL,Medellin,Gris,3.0,Gasolina,120.0,Modelo 84. ORIGINAL,1.6,13500000.0,Antioquia,Mecanica,1984.0
Hatchback,Mazda,Rionegro,Blanco,5.0,Gasolina,97000.0,323,1.3,7500000.0,Antioquia,Mecanica,1984.0
Coupe,Mercedes-Benz,Barranquilla,Azul,2.0,Gasolina,125000.0,Clase C,2300,27000000.0,Atlantico,Automatica,1984.0
Sedan,Mercedes-Benz,Suba,Plateado,4.0,Gasolina,195000.0,230,2.3,19000000.0,Bogota D.C.,Mecanica,1984.0
Camioneta,Toyota,Medellin,Blanco,5.0,Gasolina,250000.0,Land Cruiser,4.2,46700000.0,Antioquia,Mecanica,1984.0
Sedan,BMW,Usaquen,Gris,4.0,Gasolina,202000.0,Serie 3,2.3,37500000.0,Bogota D.C.,Mecanica,1984.0
Sedan,Mazda,Suba,Verde,4.0,Gasolina,100000.0,323,1500,24990000.0,Bogota D.C.,Mecanica,1984.0
Camioneta,Mazda,Engativa,Azul,4.0,Gasolina,350000.0,323,1500,6300000.0,Bogota D.C.,Mecanica,1984.0
Sedan,BMW,Rafael Uribe Uribe,Blanco,4.0,Gasolina,2500.0,Serie 3,2000,27500000.0,Bogota D.C.,Mecanica,1984.0
Sedan,BMW,Chia,Gris,2.0,Gasolina,270000.0,Serie 3,2300,25000000.0,Cundinamarca,Mecanica,1984.0
Camioneta,Mitsubishi,Santa Rosa De Cabal,Gris,5.0,Gasolina,275000.0,Montero,2.6,23500000.0,Risaralda,Mecanica,1984.0
Camioneta,Toyota,Martires,Azul,2.0,Gasolina,234000.0,FJ,6L,65000000.0,Bogota D.C.,Mecanica,1984.0
Camioneta,Suzuki,Libano,Gris,5.0,Gasolina,50000.0,SJ,1.0,18000000.0,Tolima,Mecanica,1983.0
Camioneta,Mitsubishi,Antonio Narino,Blanco,5.0,Gasolina,100.0,Montero,2.6,30000000.0,Bogota D.C.,Mecanica,1983.0
Camioneta,Nissan,Cali,Blanco,5.0,Gasolina,140000.0,Patrol,4.0,21000000.0,Valle Del Cauca,Mecanica,1983.0
Camioneta,Ford,La Candelaria,Gris,2.0,Gasolina,140.0,1983 ford currier,2.0,11000000.0,Bogota D.C.,Mecanica,1983.0
Camioneta,Nissan,El Paso,Gris,3.0,Gasolina,11.0,Patrol,1.6,15000000.0,Cesar,Mecanica,1983.0
Sedan,Renault 4 R4,Teusaquillo,Gris,5.0,Gasolina,300000.0,Master,1.6,9000000.0,Bogota D.C.,Mecanica,1983.0
Camioneta,Suzuki,Chapinero,Negro,5.0,Gasolina,1.0,SJ,1.0,27000000.0,Bogota D.C.,Mecanica,1983.0
Pick-Up,Chevrolet,Barrancabermeja,Gris,2.0,Gasolina,250000.0,LUV,1.6,17000000.0,Santander,Mecanica,1983.0
Pick-Up,Chevrolet,Copacabana,Blanco,2.0,Gasolina,174023.0,LUV,1.6,13700000.0,Antioquia,Mecanica,1983.0
Camioneta,Suzuki,Caicedonia,Gris,5.0,Gasolina,200000.0,SJ,1.0,16000000.0,Valle Del Cauca,Mecanica,1983.0
Pick-Up,Chevrolet,Cali,Blanco,2.0,Gasolina,300000.0,LUV,1.6,14000000.0,Valle Del Cauca,Mecanica,1983.0
Camioneta,Suzuki,Envigado,Gris,5.0,Gasolina,76630.0,SJ,1.0,25000000.0,Antioquia,Mecanica,1983.0
Camioneta,Nissan,Medellin,Blanco,5.0,Gasolina,66295.0,Patrol,4.0,8000000.0,Antioquia,Mecanica,1983.0
Camioneta,Nissan,Paratebueno,Rojo,3.0,Gasolina,900.0,Patrol,4.0,11000000.0,Cundinamarca,Mecanica,1983.0
Sedan,Mercedes-Benz,Chapinero,Azul,5.0,Gasolina,185000.0,CLASE ML 250,2.525,9000000.0,Bogota D.C.,Mecanica,1983.0
Camioneta,Toyota,Puente Aranda,Blanco,5.0,Gasolina,123000.0,Land Cruiser,4.2,32000000.0,Bogota D.C.,Mecanica,1983.0
Camioneta,Mitsubishi,Barrios Unidos,Blanco,3.0,Gasolina y gas,189076.0,Montero,2.6,19850000.0,Bogota D.C.,Mecanica,1983.0
Sedan,Volvo,Bucaramanga,Gris,4.0,Gasolina,189900.0,760,2.8,7000000.0,Santander,Mecanica,1983.0
Coupe,Fiat,Suba,Negro,2.0,Gasolina,1.0,Zastava,750,25000000.0,Bogota D.C.,Mecanica,1983.0
Camioneta,Mitsubishi,Popayan,Blanco,5.0,Gasolina,350000.0,Montero,2.6,19800000.0,Cauca,Mecanica,1983.0
Camioneta,Mitsubishi,Engativa,Verde,5.0,Gasolina,170000.0,Montero,2.6,23000000.0,Bogota D.C.,Mecanica,1983.0
Camioneta,Nissan,Envigado,Blanco,5.0,Gasolina,100000.0,Patrol,4.0,14900000.0,Antioquia,Mecanica,1983.0
Camioneta,Mercedes-Benz,Usaquen,Gris,4.0,Gasolina,184000.0,280E,2.0,26000000.0,Bogota D.C.,Mecanica,1983.0
Camioneta,Suzuki,Medellin,Blanco,5.0,Gasolina,66300.0,SJ,1.0,20900000.0,Antioquia,Mecanica,1983.0
Sedan,Mercedes-Benz,Medellin,Rojo,4.0,Gasolina,178000.0,230,2.3,20000000.0,Antioquia,Mecanica,1983.0
Camioneta,Land Rover,Medellin,Gris,5.0,Gasolina,999.0,Santana,2.0,45000000.0,Antioquia,Mecanica,1983.0
Camioneta,Toyota,Medellin,Gris,5.0,Gasolina,193000.0,Land Cruiser,2.0,41000000.0,Antioquia,Mecanica,1983.0
Sedan,Mercedes-Benz,Usaquen,Blanco,4.0,Gasolina,50000.0,Clase E,2000,30000000.0,Bogota D.C.,Mecanica,1983.0
Sedan,Mercedes-Benz,Suba,Blanco,4.0,Gasolina,398617.0,Clase E,2300,13800000.0,Bogota D.C.,Mecanica,1983.0
Camioneta,Toyota,Usaquen,Amarillo,5.0,Gasolina,370000.0,Land Cruiser,4.2,39000000.0,Bogota D.C.,Mecanica,1983.0
Pick-Up,Toyota,Belalcazar,Azul,2.0,Diesel,1.0,Land Cruiser,4.2,61600000.0,Caldas,Mecanica,1983.0
Hatchback,Fiat,Suba,Blanco,5.0,Gasolina,106000.0,147,1.3,17500000.0,Bogota D.C.,Mecanica,1983.0
Camioneta,Mercedes-Benz,Usaquen,Gris,2.0,Gasolina,0.0,Clase C,1.6,32000000.0,Bogota D.C.,Mecanica,1983.0
Convertible,Mercedes-Benz,Cali,Dorado,2.0,Gasolina,123000.0,Clase SL,2800,90000000.0,Valle Del Cauca,Automatica,1983.0
Off-Road,Suzuki,Cali,Azul,2.0,Gasolina,50000.0,SJ,1000,46000000.0,Valle Del Cauca,Mecanica,1983.0
Hatchback,Suzuki,Cali,Azul,2.0,Gasolina,50000.0,SJ,1000,46000000.0,Valle Del Cauca,Mecanica,1983.0
Sedan,Mercedes-Benz,Puente Aranda,Blanco,4.0,Gasolina,180000.0,Clase E,2.0,10850000.0,Bogota D.C.,Mecanica,1986.0
Pick-Up,Nissan,Santa Marta (Distrito Turistico Cultural E Historico),Blanco,2.0,Gasolina,235000.0,Patrol,4.0,8000000.0,Magdalena,Mecanica,1986.0
Camioneta,Toyota,Bosa,Verde,3.0,Gasolina,61753.0,Land Cruiser,4500,48000000.0,Bogota D.C.,Mecanica,1987.0
Pick-Up,Chevrolet,Puente Aranda,Azul,2.0,Gasolina,300000.0,LUV,1.6,22000000.0,Bogota D.C.,Mecanica,1987.0
Sedan,Mazda,Planadas,Blanco,4.0,Gasolina,870000.0,323,1.5,5800000.0,Tolima,Mecanica,1987.0
Sedan,Mazda,Fontibon,Blanco,4.0,Gasolina,1.0,323,1.5,5600000.0,Bogota D.C.,Mecanica,1987.0
Pick-Up,Chevrolet,Medellin,Blanco,2.0,Gasolina,16000.0,LUV,1.6,18500000.0,Antioquia,Mecanica,1987.0
Pick-Up,Chevrolet,Medellin,Gris,2.0,Gasolina,200000.0,LUV,1.6,15000000.0,Antioquia,Mecanica,1987.0
Camioneta,Renault,Fontibon,Gris,4.0,Gasolina,200000.0,Modelo 87,1.6,4500000.0,Bogota D.C.,Mecanica,1987.0
Camioneta,Jeep,Tulua,Gris,5.0,Gasolina,242000.0,Wrangler,2.5,38000000.0,Valle Del Cauca,Mecanica,1987.0
Camioneta,Nissan,Pasto,Blanco,5.0,Gasolina,190000.0,Patrol,4.0,60000000.0,Narino,Mecanica,1987.0
Pick-Up,Chevrolet,Medellin,Gris,2.0,Gasolina,1.0,C30,5.7,15000000.0,Antioquia,Mecanica,1987.0
Sedan,Mazda,San Cristobal Sur,Blanco,4.0,Gasolina,1000.0,323,1.3,7200000.0,Bogota D.C.,Mecanica,1987.0
Sedan,Mazda,Medellin,Blanco,4.0,Gasolina,211329.0,323,1.5,7500000.0,Antioquia,Mecanica,1987.0
Sedan,Nissan,Manizales,Blanco,2.0,Gasolina y gas,10.0,Patrol,1.6,35000000.0,Caldas,Mecanica,1987.0
Camioneta,Mitsubishi,Valledupar,Gris,5.0,Gasolina,225000.0,Montero,2.6,30000000.0,Cesar,Mecanica,1987.0
Sedan,Mercedes-Benz,La Calera,Blanco,4.0,Gasolina,168000.0,230,2.3,16000000.0,Cundinamarca,Mecanica,1987.0
Camioneta,Mazda,Engativa,Blanco,5.0,Gasolina,259122.0,626,2000,5500000.0,Bogota D.C.,Mecanica,1987.0
Hatchback,Toyota,Valledupar,Gris,3.0,Diesel,188000.0,Land Cruiser,1.6,55000000.0,Cesar,Mecanica,1987.0
Camioneta,Toyota,Engativa,Gris,5.0,Gasolina,200000.0,Land Cruiser,4.0,49000000.0,Bogota D.C.,Mecanica,1987.0
Camioneta,Toyota,Cali,Blanco,5.0,Gasolina,213000.0,Land Cruiser,4.0,57000000.0,Valle Del Cauca,Mecanica,1987.0
Camioneta,Mitsubishi,Rionegro,Gris,5.0,Gasolina,217000.0,Montero,2.6,24000000.0,Antioquia,Mecanica,1987.0
Camioneta,Toyota,Medellin,Gris,5.0,Gasolina,280000.0,Land Cruiser,4.0,41500000.0,Antioquia,Mecanica,1987.0
Hatchback,Toyota,Bucaramanga,Rojo,3.0,Gasolina,270000.0,Land Cruiser,4000,65000000.0,Santander,Mecanica,1987.0
Hatchback,Jeep,Kennedy,Blanco,2.0,Diesel,250000.0,Wrangler,2700,42000000.0,Bogota D.C.,Mecanica,1987.0
Camioneta,Toyota,Engativa,Habano,3.0,Gasolina,10.0,Land Cruiser,2.0,36000000.0,Bogota D.C.,Mecanica,1987.0
Pick-Up,Chevrolet,Kennedy,Dorado,2.0,Gasolina,100000.0,LUV,1.6,19800000.0,Bogota D.C.,Mecanica,1987.0
Camioneta,Toyota,Neiva,Gris,5.0,Gasolina,200000.0,Land Cruiser,4.0,38000000.0,Huila,Mecanica,1987.0
Sedan,Toyota,Envigado,Gris,3.0,Gasolina,289000.0,Fj Cruiser,1.6,75000000.0,Antioquia,Mecanica,1987.0
Camioneta,Mercedes-Benz,Medellin,Blanco,3.0,Gasolina,88000.0,GE,2.0,110000000.0,Antioquia,Mecanica,1987.0
Camioneta,Toyota,Cota,Gris,5.0,Gasolina,197900.0,Land Cruiser,4.0,120000000.0,Cundinamarca,Mecanica,1987.0
Camioneta,Toyota,Engativa,Blanco,3.0,Gasolina,90000.0,Land Cruiser,3F,130000000.0,Bogota D.C.,Mecanica,1987.0
Camioneta,Mitsubishi,Suba,Blanco,5.0,Gasolina,235000.0,Montero,2.6,28500000.0,Bogota D.C.,Mecanica,1987.0
Camioneta,Toyota,Chapinero,Vinotinto,3.0,Diesel,5000.0,Land Cruiser,3800,89000000.0,Bogota D.C.,Mecanica,1987.0
Sedan,Mazda,Tabio,Gris,4.0,Gasolina,12000.0,626,1.8,3200000.0,Cundinamarca,Mecanica,1986.0
Hatchback,Toyota,Villavicencio,Blanco,2.0,Gasolina y gas,249586.0,Land Cruiser,2.0,42000000.0,Meta,Mecanica,1986.0
Sedan,Renault,Pereira,Gris,4.0,Gasolina,1.0,R9,1.4,4500000.0,Risaralda,Mecanica,1986.0
Sedan,Renault,Duitama,Gris,4.0,Gasolina,374607.0,R9,2.0,5700000.0,Boyaca,Mecanica,1986.0
Camioneta,Chevrolet,Ebejico,Blanco,2.0,Diesel,250000.0,LUV,2.0,26000000.0,Antioquia,Mecanica,1986.0
Sedan,Mercedes-Benz,Usaquen,Blanco,4.0,Gasolina,232000.0,230,2.3,16500000.0,Bogota D.C.,Mecanica,1986.0
Camioneta,Renault,Granada,Gris,5.0,Gasolina,110000.0,R18,2.0,3600000.0,Meta,Mecanica,1986.0
Pick-Up,Chevrolet,San Gil,Blanco,2.0,Gasolina,100.0,LUV,1.6,23000000.0,Santander,Mecanica,1986.0
Pick-Up,Chevrolet,Envigado,Gris,2.0,Gasolina,498106.0,LUV,1.6,11000000.0,Antioquia,Mecanica,1986.0
Camioneta,Renault,Medellin,Blanco,5.0,Gasolina,1.0,R18,2.0,4800000.0,Antioquia,Mecanica,1986.0
Pick-Up,Chevrolet,Barrios Unidos,Rojo,2.0,Gasolina y gas,221500.0,LUV,1.6,18000.0,Bogota D.C.,Mecanica,1986.0
Pick-Up,Chevrolet,Armenia,Gris,2.0,Gasolina,700000.0,LUV,1.6,25000000.0,Quindio,Mecanica,1986.0
Sedan,Mazda,Envigado,Blanco,5.0,Gasolina y gas,496000.0,626,1.8,4500000.0,Antioquia,Mecanica,1986.0
Sedan,Renault,Soacha,Azul,4.0,Gasolina,120000.0,R9,1.4,6000000.0,Cundinamarca,Mecanica,1986.0
Sedan,Renault,Santa Marta (Distrito Turistico Cultural E Historico),Blanco,4.0,Gasolina,70450.0,R9,1.4,2000000.0,Magdalena,Mecanica,1986.0
Pick-Up,Chevrolet,Soacha,Gris,2.0,Gasolina,170000.0,LUV,1.6,19000000.0,Cundinamarca,Mecanica,1986.0
Camioneta,Jeep,Riosucio,Blanco,2.0,Gasolina,160000.0,Wrangler,1.6,33000000.0,Caldas,Mecanica,1986.0
Camioneta,Mitsubishi,Fontibon,Dorado,3.0,Gasolina,250000.0,Montero,2.6,22000000.0,Bogota D.C.,Mecanica,1986.0
Camioneta,Mitsubishi,Medellin,Gris,5.0,Gasolina,160000.0,Montero,2.6,18500000.0,Antioquia,Mecanica,1986.0
Sedan,BMW,Pasto,Blanco,4.0,Gasolina,186000.0,Serie 3,2.5,22500000.0,Narino,Mecanica,1986.0
Hatchback,Renault,Itagui,Gris,5.0,Gasolina,300.0,R4,1.0,7000000.0,Antioquia,Mecanica,1986.0
Sedan,Mercedes-Benz,Usaquen,Azul,4.0,Gasolina,227000.0,Clase E,3.0,18900000.0,Bogota D.C.,Mecanica,1986.0
Pick-Up,Chevrolet,Fontibon,Gris,2.0,Gasolina,163000.0,LUV,1.6,21500000.0,Bogota D.C.,Mecanica,1986.0
Camioneta,Mazda,Medellin,Gris,3.0,Gasolina,66888.0,Estaca 4x2 1.6,2.0,14500000.0,Antioquia,Mecanica,1986.0
Sedan,Mercedes-Benz,Usaquen,Blanco,4.0,Gasolina,216000.0,Clase E,3.0,28500000.0,Bogota D.C.,Mecanica,1986.0
Sedan,Chevrolet,Engativa,Gris,4.0,Gasolina,200000.0,Monza,1.8,9500000.0,Bogota D.C.,Mecanica,1986.0
Sedan,Chevrolet,Medellin,Azul,4.0,Gasolina,82600.0,Chevette,1400,9700000.0,Antioquia,Mecanica,1986.0
Pick-Up,Chevrolet,Pereira,Amarillo,2.0,Gasolina,111.0,LUV,1.6,21900000.0,Risaralda,Mecanica,1986.0
Pick-Up,Chevrolet,Ciudad Bolivar,Negro,2.0,Gasolina y gas,39520.0,LUV,1.6,16000000.0,Bogota D.C.,Mecanica,1986.0
Camioneta,Toyota,Pereira,Amarillo,5.0,Gasolina,200000.0,Land Cruiser,4.0,140000000.0,Risaralda,Mecanica,1986.0
Camioneta,Mercedes-Benz,Barrios Unidos,Rojo,4.0,Gasolina,165000.0,Clase E,2.0,13000000.0,Bogota D.C.,Mecanica,1986.0
Pick-Up,Toyota,Usaquen,Blanco,3.0,Gasolina,298000.0,Land Cruiser,4.0,60000000.0,Bogota D.C.,Mecanica,1986.0
Camioneta,Ford,Suba,Azul,5.0,Gasolina,170000.0,Explorer,4.0,33500000.0,Bogota D.C.,Automatica,2005.0
Camioneta,Renault,Suba,Blanco,4.0,Gasolina,186347.0,Megane,2.0,17900000.0,Bogota D.C.,Automatica,2006.0
Camioneta,Nissan,Medellin,Gris,5.0,Gasolina,257000.0,Pathfinder,3.5,39000000.0,Antioquia,Mecanica,2004.0
Hatchback,Chevrolet,Rionegro,Blanco,5.0,Gasolina,168000.0,Corsa,1.4,13000000.0,Antioquia,Mecanica,2005.0
Hatchback,Peugeot,Engativa,Blanco,5.0,Gasolina,139000.0,307,1.6,17500000.0,Bogota D.C.,Mecanica,2005.0
Camioneta,Chevrolet,Medellin,Blanco,5.0,Gasolina,78900.0,Aveo,2.0,67000000.0,Antioquia,Mecanica,2006.0
Hatchback,Chevrolet,Puente Aranda,Gris,5.0,Gasolina,147000.0,Corsa,1.4,13500000.0,Bogota D.C.,Mecanica,2005.0
Sedan,Mazda,Suba,Plateado,4.0,Gasolina,124000.0,6,2.3,21000000.0,Bogota D.C.,Mecanica,2006.0
Sedan,Mazda,Armenia,Gris,4.0,Gasolina,209593.0,626,2.0,18500000.0,Quindio,Mecanica,2006.0
Pick-Up,Mazda,El Rosal,Gris,4.0,Gasolina,1000.0,B2600,2.6,39500000.0,Cundinamarca,Mecanica,2004.0
Camioneta,Changhe,Barrios Unidos,Azul,5.0,Gasolina,140000.0,2005,4 cilindros,8500000.0,Bogota D.C.,Mecanica,2005.0
Hatchback,Renault,Cali,Dorado,5.0,Gasolina,95000.0,Twingo,1.2,13000000.0,Valle Del Cauca,Mecanica,2006.0
Camioneta,Toyota,Villavicencio,Blanco,5.0,Gasolina,175000.0,RAV4,2.0,45000000.0,Meta,Mecanica,2004.0
Hatchback,Peugeot,Chapinero,Blanco,5.0,Gasolina,160000.0,206,1.4,13000000.0,Bogota D.C.,Mecanica,2004.0
Pick-Up,Toyota,Villapinzon,Azul,2.0,Gasolina,143000.0,Hilux,2.4,55000000.0,Cundinamarca,Mecanica,2005.0
Hatchback,Renault,Medellin,Blanco,5.0,Gasolina,170825.0,Clio,1.6,15000000.0,Antioquia,Mecanica,2006.0
Camioneta,Chevrolet,Medellin,Blanco,5.0,Gasolina,182500.0,Trailblazer,4.2,24000000.0,Antioquia,Mecanica,2004.0
Hatchback,Renault,Fontibon,Plateado,5.0,Gasolina,125000.0,Clio,1.4,16900000.0,Bogota D.C.,Mecanica,2004.0
Camioneta,Chevrolet,La Union,Gris,4.0,Diesel,560000.0,D-Max,1.6,37000000.0,Valle Del Cauca,Mecanica,2005.0
Camioneta,Chevrolet,La Calera,Gris,4.0,Diesel,190000.0,D-Max,1.6,38500000.0,Cundinamarca,Mecanica,2006.0
Hatchback,Chevrolet,Choachi,Gris,5.0,Gasolina,201000.0,Zafira,2.0,21000000.0,Cundinamarca,Mecanica,2005.0
Sedan,Chevrolet,Tulua,Gris,4.0,Gasolina,187200.0,Optra,1.8,14000000.0,Valle Del Cauca,Mecanica,2006.0
Camioneta,Chevrolet,Medellin,Blanco,5.0,Gasolina,177000.0,Grand Vitara,2.0,26000000.0,Antioquia,Mecanica,2005.0
Hatchback,Chevrolet,Florida,Gris,5.0,Gasolina,214000.0,Spark,1.0,9500000.0,Valle Del Cauca,Mecanica,2005.0
Sedan,Renault,Santa Marta (Distrito Turistico Cultural E Historico),Plateado,4.0,Gasolina,210000.0,Megane,1.6,4700000.0,Magdalena,Mecanica,2006.0
Camioneta,Nissan,Engativa,Blanco,5.0,Gasolina,140000.0,Murano,3.5,32900000.0,Bogota D.C.,Automatica,2006.0
Camioneta,Kia,Pereira,Blanco,5.0,Diesel,140000.0,Sorento,2.5,10000000.0,Risaralda,Mecanica,2006.0
Camioneta,Nissan,Bello,Gris,5.0,Gasolina,197000.0,Pathfinder,4.0,30000000.0,Antioquia,Automatica,2006.0
Sedan,Renault,Soacha,Gris,4.0,Gasolina,122000.0,Symbol,1.4,13000000.0,Cundinamarca,Mecanica,2006.0
Sedan,Renault,Rafael Uribe Uribe,Gris,4.0,Gasolina,130000.0,Megane,1.4,13000000.0,Bogota D.C.,Mecanica,2006.0
Camioneta,Chevrolet,Fontibon,Plateado,5.0,Gasolina,83915.0,Grand Vitara,1.6,27900000.0,Bogota D.C.,Automatica,2006.0
Camioneta,Chevrolet,Medellin,Blanco,5.0,Gasolina,102632.0,Corsa,1.6,15700000.0,Antioquia,Mecanica,2006.0
Sedan,Mazda,Cali,Negro,4.0,Gasolina,137000.0,6,2.3,17000000.0,Valle Del Cauca,Mecanica,2006.0
Sedan,BMW,Suba,Gris,4.0,Gasolina,116600.0,Serie 3,2.5,28900000.0,Bogota D.C.,Mecanica,2006.0
Pick-Up,Mazda,Medellin,Gris,4.0,Gasolina,20781.0,B2600,2.6,34000000.0,Antioquia,Mecanica,2006.0
Camioneta,Renault,Medellin,Gris,5.0,Gasolina,145000.0,Symbol,1400,15300000.0,Antioquia,Mecanica,2006.0
Sedan,Mazda,Tunja,Rojo,4.0,Gasolina,118000.0,3,2.0,19499000.0,Boyaca,Mecanica,2006.0
Sedan,Peugeot,Medellin,Azul,3.0,Gasolina,165000.0,206,1.6,11500000.0,Antioquia,Mecanica,2006.0
Sedan,Renault,San Cristobal Sur,Gris,4.0,Gasolina,110000.0,Megane,1600,14200000.0,Bogota D.C.,Automatica,2006.0
Hatchback,Fiat,Suba,Gris,5.0,Gasolina,108000.0,Uno,1.3,12900000.0,Bogota D.C.,Mecanica,2006.0
Sedan,Volkswagen,Chapinero,Gris,4.0,Gasolina,172000.0,Bora,2.5,19900000.0,Bogota D.C.,Mecanica,2006.0
Camioneta,Chevrolet,Envigado,Gris,5.0,Gasolina,230000.0,Grand Vitara,2.5,28200000.0,Antioquia,Mecanica,2006.0
Camioneta,Kia,Monteria,Blanco,5.0,Diesel,255000.0,Sportage,2.0,24900000.0,Cordoba,Mecanica,2006.0
Hatchback,Peugeot,Engativa,Blanco,5.0,Gasolina,150000.0,206,1.4,14800000.0,Bogota D.C.,Mecanica,2006.0
Pick-Up,Toyota,Usaquen,Plateado,4.0,Gasolina,185000.0,Hilux,2.7,55000000.0,Bogota D.C.,Mecanica,2006.0
Hatchback,Peugeot,Usaquen,Negro,5.0,Gasolina,170000.0,206,1.4,14800000.0,Bogota D.C.,Mecanica,2006.0
Camioneta,Ford,Engativa,Plateado,5.0,Gasolina,132000.0,Escape,3.0,24800000.0,Bogota D.C.,Automatica,2006.0
Sedan,Renault,Barrios Unidos,Plateado,4.0,Gasolina,159000.0,Symbol,1.4,12900000.0,Bogota D.C.,Mecanica,2006.0
Sedan,Kia,Suba,Gris,4.0,Gasolina,181000.0,Carens,2.0,21800000.0,Bogota D.C.,Automatica,2006.0
Hatchback,Renault,Suba,Blanco,3.0,Gasolina,168726.0,Twingo,1.6,14800000.0,Bogota D.C.,Mecanica,2006.0
Hatchback,Renault,Suba,Blanco,5.0,Gasolina,163236.0,Twingo,1.2,14800000.0,Bogota D.C.,Automatica,2006.0
Camioneta,Mitsubishi,Puente Aranda,Gris,5.0,Gasolina,116000.0,Montero,3.0,46500000.0,Bogota D.C.,Mecanica,2006.0
Sedan,Mazda,Usaquen,Gris,4.0,Gasolina,141396.0,3,2.0,14000000.0,Bogota D.C.,Automatica,2006.0
Sedan,Volkswagen,Suba,Gris,4.0,Gasolina,157798.0,Jetta,2.0,19500000.0,Bogota D.C.,Mecanica,2006.0
Sedan,Chevrolet,Bosa,Plateado,4.0,Gasolina,131000.0,Corsa,2.0,13500000.0,Bogota D.C.,Mecanica,2006.0
Sedan,Chevrolet,Rafael Uribe Uribe,Gris,4.0,Gasolina,79000.0,Corsa,1400,18000000.0,Bogota D.C.,Mecanica,2006.0
Hatchback,Mazda,Medellin,Beige,5.0,Gasolina,167900.0,Demio,1300,13900000.0,Antioquia,Mecanica,2006.0
Sedan,Nissan,Usaquen,Plateado,4.0,Gasolina,80000.0,Sentra,1.8,17800000.0,Bogota D.C.,Mecanica,2006.0
Camioneta,Nissan,Teusaquillo,Rojo,4.0,Gasolina y gas,120000.0,Sentra,1.6,11300000.0,Bogota D.C.,Mecanica,2006.0
Pick-Up,Toyota,Fontibon,Dorado,4.0,Gasolina,135000.0,Hilux,2.4,57800000.0,Bogota D.C.,Mecanica,2006.0
Camioneta,Chevrolet,Tocancipa,Gris,5.0,Gasolina,167000.0,Vitara,1.6,27500000.0,Cundinamarca,Mecanica,2006.0
